Date/Time,Word Count,en,ru-RU
2026.07.01-17.12.04,32,0,32
2026.07.01-17.17.56,32,29,32
2026.07.01-18.20.03,47,29,47
2026.07.01-18.22.43,47,44,47
2026.07.01-18.59.35,60,44,60
2026.07.01-19.04.30,60,57,60
2026.07.01-19.16.17,66,57,66
2026.07.01-19.17.42,66,64,66
2026.07.01-19.55.12,60,4,60
2026.07.01-19.55.29,60,4,28
2026.07.01-20.01.14,60,60,28
2026.07.01-20.02.59,60,60,60
2026.07.10-18.26.09,71,60,71
2026.07.10-18.33.36,71,71,71
2026.07.10-19.38.33,87,71,87
2026.07.16-16.23.44,92,71,92
2026.07.16-16.33.27,92,92,92
2026.07.16-19.04.19,3117,92,3117
2026.07.16-19.05.57,92,92,92
2026.07.16-19.08.29,3117,92,3117
2026.07.16-19.11.47,92,92,92
2026.07.16-19.17.01,161,92,161
2026.07.16-19.22.07,161,161,161
2026.07.16-20.29.42,172,161,172
2026.07.16-20.32.17,172,172,172
